Customer ID,country,frequency,monetary,recency_days,churn_probability,will_buy_probability,actual_outcome,risk_tier,risk_reasons
12346,United Kingdom,3,77352.96,265,0.92936337,0.07063664,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Low order count | VIP account - escalate
16754,United Kingdom,29,65500.07,311,0.9170823,0.08291771,Did Not Buy,Critical Risk,Long inactivity (>6 months) | VIP account - escalate
13093,United Kingdom,55,54144.25,215,0.90375614,0.09624386,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Active buyer who stopped | VIP account - escalate
17850,United Kingdom,155,51208.87,311,0.9371197,0.0628803,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Active buyer who stopped | VIP account - escalate
15749,United Kingdom,3,44534.3,174,0.95976335,0.040236637,Did Not Buy,Critical Risk,Moderate inactivity (3-6 months) | Low order count | Major account
15098,United Kingdom,3,39916.5,121,0.90169483,0.09830517,Did Not Buy,Critical Risk,Moderate inactivity (3-6 months) | Low order count | Major account
13902,Denmark,5,34023.26,571,0.9592128,0.040787198,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Major account
18251,United Kingdom,9,26278.86,26,0.79840314,0.20159687,Did Not Buy,Critical Risk,Major account
13802,United Kingdom,19,26259.11,78,0.8232916,0.17670842,Did Not Buy,Critical Risk,Major account
12939,United Kingdom,20,25264.8,3,0.8515664,0.14843363,Did Not Buy,Critical Risk,Major account
12482,Sweden,27,21941.72,515,0.9847859,0.015214083,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Major account
18008,United Kingdom,23,19759.079999999998,9,0.8690685,0.13093153,Did Not Buy,Critical Risk,Major account
15523,United Kingdom,16,17259.19,23,0.80804837,0.19195166,Did Not Buy,Critical Risk,Major account
13027,United Kingdom,19,17239.2,53,0.73494136,0.2650586,Did Not Buy,High Risk,Major account
15808,United Kingdom,21,17180.25,245,0.8840273,0.115972705,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Major account
16553,United Kingdom,33,16584.01,102,0.5969387,0.40306127,Did Not Buy,High Risk,Moderate inactivity (3-6 months) | Active buyer who stopped | Major account
16180,United Kingdom,13,16249.87,39,0.61360073,0.3863993,Did Not Buy,High Risk,Major account
12980,United Kingdom,21,16245.78,97,0.7561953,0.24380471,Did Not Buy,Critical Risk,Moderate inactivity (3-6 months) | Major account
13564,United Kingdom,36,15880.22,293,0.9208909,0.0791091,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Active buyer who stopped | Major account
15768,United Kingdom,34,15308.89,55,0.7698643,0.2301357,Did Not Buy,Critical Risk,Major account
17448,United Kingdom,41,14448.67,468,0.979234,0.02076601,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Active buyer who stopped | Major account
13225,United Kingdom,14,14095.79,82,0.63026094,0.36973906,Bought,High Risk,Major account
12435,Denmark,6,13925.93,19,0.8420785,0.1579215,Did Not Buy,Critical Risk,Major account
18087,United Kingdom,16,13908.72,230,0.92035484,0.079645135,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Major account
13952,United Kingdom,14,12823.52,157,0.7684977,0.2315023,Did Not Buy,Critical Risk,Moderate inactivity (3-6 months) | Major account
13687,United Kingdom,1,11880.84,377,0.95136833,0.04863168,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Low order count | Major account
14016,EIRE,11,11303.41,101,0.6574938,0.34250614,Did Not Buy,High Risk,Moderate inactivity (3-6 months) | Major account
15874,United Kingdom,21,11284.76,3,0.85352486,0.14647515,Did Not Buy,Critical Risk,Major account
14134,United Kingdom,15,11123.35,322,0.75757056,0.24242945,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Major account
15032,United Kingdom,8,11010.05,195,0.7739309,0.22606908,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Major account
14045,United Kingdom,16,10986.63,48,0.9203261,0.07967387,Did Not Buy,Critical Risk,Major account
18052,United Kingdom,1,10877.18,504,0.91502774,0.08497223,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Low order count | Major account
14028,United Kingdom,3,10396.5,489,0.91049635,0.089503616,Did Not Buy,Critical Risk,Long inactivity (>6 months) | Low order count | Major account
